inventory number,description,"serial, number",date acquired,vendor,cost,value
36,"Flour - Buckwheat, Dark",9567G32P5B3OJEUZ,8/8/2018,O'Conner and Sons,$1.48,$17.84
36,Vinegar - Champagne,U3R6M0G6ZR4N5262,8/9/2018,Walter Inc,$7.07,$23.02
51,"Yogurt - Cherry, 175 Gr",XN347KVFMBNFJ2XE,8/9/2018,"Sipes, Reilly and Hoeger",$4.06,$13.57
52,"Bread - Roll, Soft White Round",NE2F6R6U2V7NAAX6,8/7/2018,Torphy-Kilback,$5.96,$21.24
27,Onions - Pearl,FYKY5V510RY38DIY,8/8/2018,Johns-Olson,$0.71,$21.18
5,"Pork - Butt, Boneless",FD32B245Y843JJSY,8/7/2018,Koelpin Group,$0.83,$18.55
25,Mace,X9K00IN757H2WO2W,8/7/2018,Koelpin-Rath,$5.91,$23.86
44,Bread - Raisin Walnut Pull,NZP03CVFW1CZ7XDZ,8/8/2018,Heathcote Inc,$2.30,$18.90
16,Oranges,24FGO0EM98741FOS,8/7/2018,"Grant, Jenkins and Rath",$8.84,$21.50
5,Sauce - Cranberry,436W6RIYCXYZ0MW3,8/8/2018,Krajcik-Funk,$5.37,$10.90
64,Juice - Lagoon Mango,86G7U6G8B287386J,8/7/2018,"Hackett, Abbott and Cormier",$2.05,$11.71
78,"Tuna - Canned, Flaked, Light",IN10GN73Q6P0UR33,8/7/2018,"Bartell, Lesch and Stanton",$7.82,$19.57
7,Icecream - Dibs,R3CE88N8B7AK832E,8/8/2018,"Blick, Effertz and Bauch",$4.40,$15.98
39,"Soup - Knorr, Chicken Gumbo",68J1ZNT1U5KG3BYE,8/7/2018,"Beier, Tremblay and Zboncak",$7.39,$18.62
80,"Veal - Chops, Split, Frenched",4L6TG3JXE39OQ34O,8/7/2018,"Anderson, Rodriguez and Green",$5.13,$13.64
18,Rosemary - Dry,7JV1IPA5J0VSIEC0,8/7/2018,Willms-Heidenreich,$4.86,$16.43
18,Bread - Malt,6ZZG4TQ9Z2FFD9V4,8/8/2018,Runte Inc,$6.57,$20.77
28,,Z6NDU1JJ3C1C571X,8/9/2018,Corkery LLC,$3.41,$16.56
48,Sobe - Lizard Fuel,K5XU2VN889WD45B1,8/7/2018,Schmidt-Weimann,$6.04,$17.38
11,Turkey - Oven Roast Breast,80O80Z74QZSN5KHB,8/7/2018,Boehm-Wuckert,$0.30,$10.22
94,Cheese - Oka,4P679SL304X14B2W,8/8/2018,Zboncak Inc,$2.07,$18.14
57,Grand Marnier,LM078EZW268Y79AU,8/9/2018,Jones-Walter,$7.08,$13.09
41,Island Oasis - Pina Colada,6666I7M08O2URX29,8/8/2018,Rath and Sons,$9.71,$12.18
20,Cookie Chocolate Chip With,5XVFQRYXRV7I5183,8/9/2018,Jaskolski LLC,$5.64,$22.98
33,Extract - Almond,178P6K08X1Q8J2W8,8/9/2018,"Hirthe, Jacobson and Rice",$6.83,$13.89
4,Wheat - Soft Kernal Of Wheat,AFWCS8EQEE563C14,8/9/2018,Mosciski-Ritchie,$1.37,$21.76
88,Melon - Cantaloupe,LAGR85N1KQ41E0Y8,8/7/2018,Tremblay Group,$4.11,$14.09
82,Pork Loin Bine - In Frenched,6819BDY037DQ1MPG,8/7/2018,Cormier LLC,$5.32,$22.68
11,Mix Pina Colada,CAS3V8V521KP9B22,8/7/2018,"Krajcik, Mills and Kulas",$1.35,$18.68
49,,4QD1911P498P0A39,8/8/2018,Gottlieb-Romaguera,$3.18,$20.60
88,,L9QF20T9ZLWV3X46,8/7/2018,Harris and Sons,$3.42,$21.29
14,"Water - Mineral, Carbonated",WUA80HK6HBB7635P,8/9/2018,Mitchell-Hermann,$8.12,$19.06
29,Numi - Assorted Teas,0NVYCQ1451UAGU1H,8/8/2018,"O'Hara, O'Reilly and Crooks",$2.91,$12.55
26,Tea Leaves - Oolong,ILI96EF59V408647,8/9/2018,"Erdman, Goyette and Bogan",$9.21,$14.08
13,Bar Mix - Lemon,MLAGFIK585399WQ2,8/7/2018,Schimmel-Runte,$4.37,$24.79
76,"Wine - White, French Cross",U05G6R27CJLQZVBB,8/9/2018,Reinger Inc,$1.73,$14.98
46,"Melon - Watermelon, Seedless",G9R9R9I6E5G4344G,8/7/2018,"Veum, Rowe and Macejkovic",$9.41,$10.70
98,Wine - Jafflin Bourgongone,Q6H450ZVX2A40K9D,8/9/2018,Wolff Inc,$4.79,$23.81
85,Broom And Brush Rack Black,5644Z309397PPL94,8/8/2018,"Ward, Prosacco and Satterfield",$9.08,$15.97
25,Dry Ice,94JBQY01OR9K302P,8/9/2018,"Stark, Feest and Grant",$5.59,$18.22
13,"Lid - High Heat, Super Clear",0SEGB245WBBHX38R,8/9/2018,Steuber-Jerde,$10.00,$16.52
9,Fond - Chocolate,7F5BT6W98ZS6W5PC,8/8/2018,"Dicki, Murazik and McCullough",$7.06,$19.69
16,Cinnamon Buns Sticky,LY29D83045ZTT3I5,8/8/2018,Stanton-Nikolaus,$8.27,$17.98
30,Coffee Cup 12oz 5342cd,73WC0TIV7236C246,8/9/2018,Trantow-Von,$1.72,$24.27
52,Nescafe - Frothy French Vanilla,Y6C4NZDT80Y58R11,8/9/2018,Gutmann Group,$2.64,$14.96
58,Cookies - Fortune,U0D50H8NY5P01Q4P,8/9/2018,"Kessler, Weissnat and Kuhn",$8.77,$16.04
1,Pastry - Butterscotch Baked,51648MO82WE1RMV8,8/7/2018,Lemke-Lakin,$3.02,$10.13
48,Rabbit - Frozen,H907F4SYJ55PP938,8/8/2018,Yundt-Bode,$4.63,$13.97
37,Mousse - Mango,2874H301PL1Q1S5R,8/9/2018,"Ratke, Mosciski and Rath",$1.30,$16.60
6,"Beef - Tongue, Cooked",DOSHJ736A9Q5YSIN,8/8/2018,Balistreri-Balistreri,$1.20,$17.21
15,Nut - Macadamia,557445ZQ4NWX7KF9,8/7/2018,Farrell-Koelpin,$2.02,$10.50
23,Trout - Smoked,K7XWK4XHSDJB0XZ9,8/7/2018,Kub-Sipes,$4.56,$23.87
29,Wine - Toasted Head,W42TS4C992149MTH,8/7/2018,Morar-Treutel,$5.44,$14.24
59,Wine - Redchard Merritt,07C05619F6BM212K,8/8/2018,Stehr-Schimmel,$1.30,$22.42
97,Mushroom - Crimini,RJSDSJ6G0153OD54,8/8/2018,Jacobson-Heller,$1.08,$24.78
26,Pate Pans Yellow,D3J5NU033RBWQKM4,8/7/2018,"Schowalter, Wehner and Johnson",$6.76,$23.30
86,,355RL1KO7L3C76O0,8/9/2018,"Blanda, Grady and Greenfelder",$3.46,$19.25
17,,9U6X7NF2ZS4541WQ,8/7/2018,Tremblay Inc,$5.88,$23.07
62,,T6Q349VI580XODA7,8/7/2018,"Torp, Weimann and Schroeder",$7.98,$24.76
78,,10L9RQD8YX96CZZ8,8/8/2018,"Dickens, Klein and Streich",$4.03,$15.21
18,Piping - Bags Quizna,7ZW1OEQ9UMGIFNFY,8/9/2018,Brakus-Leffler,$6.72,$19.29
80,"Olives - Green, Pitted",2107A731FGL14T1E,8/9/2018,Miller Group,$7.89,$19.29
27,"Liqueur Banana, Ramazzotti",3E157U752W126W93,8/9/2018,"Kiehn, Gottlieb and Kassulke",$8.70,$21.16
65,Tea - Earl Grey,9ABPG00N44253T3B,8/9/2018,"Rogahn, Luettgen and Breitenberg",$6.49,$11.33
17,"Artichoke - Hearts, Canned",NYTSF59434A46HR1,8/7/2018,Wolf LLC,$5.77,$15.62
36,Vacuum Bags 12x16,ATYV5X84YJO184X5,8/9/2018,Schiller and Sons,$7.52,$24.81
26,Soup - Campbells Tomato Ravioli,9MQ0W44I93X613O0,8/7/2018,Gorczany LLC,$5.02,$21.23
59,"Stock - Beef, White",751701P5IME821IX,8/8/2018,Moore Group,$1.36,$15.76
61,"Tortillas - Flour, 8",2J965TU14U436S15,8/8/2018,Altenwerth-Konopelski,$8.81,$11.29
17,Herb Du Provence - Primerba,3945BC732XZ4FL12,8/8/2018,Stehr Inc,$4.05,$21.95
98,Glass - Juice Clear 5oz 55005,5YV3XQ002BCH9FU5,8/9/2018,"Kling, Terry and Mitchell",$5.23,$20.12
32,Cream Of Tartar,207538U69R0CCD0H,8/8/2018,"Glover, Frami and Wunsch",$4.58,$19.37
66,"Salmon - Atlantic, No Skin",0ZBBH56PQ3JGYGD2,8/7/2018,Bins-Gaylord,$3.62,$18.07
68,Bay Leaf,Q62BJ67L1PS34L47,8/9/2018,"Wunsch, Emard and Sauer",$8.59,$15.96
29,"Zucchini - Mini, Green",2YKYE4MK67H3X012,8/8/2018,"Roob, Daugherty and Feil",$4.55,$12.44
57,Capicola - Hot,60QFEW277EWVS806,8/9/2018,Morar-Steuber,$3.65,$17.63
33,Water - Spring 1.5lit,277P09V1OKK13KQ5,8/9/2018,Herzog-Ratke,$7.12,$18.55
41,Bagels Poppyseed,94R06UVX057E14BF,8/7/2018,Hansen and Sons,$2.81,$18.01
59,Grapefruit - White,P55XR16AAALZQ419,8/8/2018,Purdy-Zemlak,$5.23,$22.95
71,Coriander - Ground,3BU710BQDLX3UN7W,8/9/2018,Barton and Sons,$4.84,$12.39
7,Pears - Bosc,JM6ZAU8FH272BP81,8/9/2018,Shanahan Inc,$5.84,$10.65
24,"Yogurt - Banana, 175 Gr",1A4K6Q0I240026A0,8/9/2018,Towne-Becker,$3.99,$17.26
7,Muffin - Bran Ind Wrpd,T1R828XX61AJ6C0G,8/9/2018,"Muller, Schmeler and Moore",$2.00,$17.77
38,"Chicken - Diced, Cooked",CDD956TG68524KXV,8/7/2018,"Zboncak, Frami and Gutkowski",$2.38,$16.03
77,Mix Pina Colada,E8QGL515541TR9P4,8/7/2018,"Purdy, Kutch and O'Reilly",$4.29,$23.46
86,"Rum - Dark, Bacardi, Black",ILO0B6U25753V7U6,8/7/2018,"Labadie, Hegmann and Doyle",$9.21,$23.18
65,"Quail - Eggs, Fresh",5QPU88A9KS4082QN,8/7/2018,D'Amore and Sons,$5.74,$24.59
2,"Quail - Whole, Boneless",VY37R2M6AVQ0KLY7,8/7/2018,Kessler-Murazik,$7.24,$23.59
33,"Crush - Grape, 355 Ml",H4789O587R0Q1B19,8/8/2018,Considine-Fadel,$6.06,$20.00
100,Goldschalger,3W531QI15CLV3180,8/9/2018,Smith Inc,$5.43,$16.88
20,Flour - Cake,DT7S5858SOVX49VR,8/9/2018,"Pfannerstill, Wintheiser and Osinski",$6.10,$21.73
76,"Tomatoes - Cherry, Yellow",8Z13R8REV0PM1797,8/8/2018,"Johnston, Miller and Wintheiser",$8.97,$10.08
58,Melon - Cantaloupe,W0HLAQ92191FSLDF,8/9/2018,Lehner and Sons,$2.63,$23.64
38,Wine - Prem Select Charddonany,7N98K34MNYR7744B,8/9/2018,"Kutch, Bauch and Koss",$1.35,$17.36
84,Beef - Striploin Aa,8H1GRJB8OO6PGB1R,8/7/2018,Crona-Graham,$7.37,$19.75
76,Milkettes - 2%,6E88MW0067WZWUY9,8/8/2018,"Greenholt, Rice and Hammes",$7.04,$13.55
92,Mushroom - Crimini,81809BYBF243JDP3,8/9/2018,Pacocha-Nienow,$6.62,$17.77
46,Nutmeg - Ground,N2BO102K2NN33X2T,8/9/2018,Cronin Group,$9.35,$16.93
58,Munchies Honey Sweet Trail Mix,C0C606Y85I0J2V3H,8/9/2018,Mante-Pollich,$6.05,$14.92
9,Ocean Spray - Ruby Red,PQVV391PEZXO7Y4C,8/8/2018,McKenzie-Ebert,$3.80,$22.84
74,Bread - Malt,PA1L48X1RJ87WN4W,8/7/2018,Block-Wisoky,$9.65,$22.79
80,Wine - Fat Bastard Merlot,X08RHX85P584CTG7,8/7/2018,"Sauer, Erdman and Altenwerth",$5.70,$17.65
32,Oil - Hazelnut,687H7700B69VE89O,8/8/2018,"Dooley, Heller and Schneider",$0.69,$15.15
61,Beef - Tenderloin,E55HSMTPHP0S8SG9,8/8/2018,Durgan and Sons,$4.23,$19.94
74,Scallops - 20/30,1KMJ5410A0HT9W39,8/9/2018,Mills and Sons,$6.48,$13.74
14,Saskatoon Berries - Frozen,428FSV5039KU37HX,8/7/2018,"Hammes, Hermiston and Bode",$2.09,$14.12
98,"Bread - Pullman, Sliced",325X903JB1363MY8,8/8/2018,Bashirian-Pollich,$2.93,$15.80
1,Cheese - Cheddarsliced,41H1H22C31LOU8JG,8/8/2018,"Pfannerstill, Pfeffer and Bradtke",$4.35,$11.20
90,"Tuna - Canned, Flaked, Light",L4M3UN217R790X3X,8/8/2018,Kutch-Feest,$9.16,$10.44
80,Steamers White,97SK7P29NN2UJ9LI,8/9/2018,"Mayer, Gulgowski and Dach",$9.65,$13.52
64,Beef - Top Butt,7R043HFXK7H9SEWX,8/9/2018,Heller and Sons,$0.65,$17.04
17,Nantucket Orange Juice,2O346DSWJ04CDK3K,8/9/2018,Toy-Lowe,$0.07,$14.05
62,Shallots,6P8VHXDQMK56832A,8/9/2018,Bins-Muller,$7.32,$13.47
72,Kirsch - Schloss,E173F15308P0G8JZ,8/7/2018,"Barton, Schinner and Schimmel",$7.34,$14.02
24,Chocolate - Unsweetened,40R44H43TV14Y063,8/7/2018,"Hermann, Fadel and Steuber",$1.39,$15.21
18,Beef - Top Sirloin - Aaa,3B72L9N79HEMQ21D,8/9/2018,"Zieme, Heller and Anderson",$5.15,$20.34
56,Parsnip,SK0OL8M5Q44QA83H,8/9/2018,Huel LLC,$6.89,$12.31
84,Calaloo,YTNT14OT74P4OU1M,8/7/2018,Kuhic-Hessel,$4.35,$24.43
31,Eggplant - Asian,JIS728703ZR9J259,8/8/2018,Pouros-Sawayn,$4.11,$17.24
80,Tumeric,7L36UBG5NEH53CU8,8/9/2018,Pfannerstill-Will,$5.43,$20.49
36,"Coke - Diet, 355 Ml",6C8W27H2NV721J1I,8/9/2018,Hilpert-Quigley,$0.90,$12.90
24,Nantucket - Kiwi Berry Cktl.,8689262U04P67755,8/7/2018,Nitzsche-Simonis,$9.31,$24.70
3,Ocean Spray - Ruby Red,L8ZV472769E101M8,8/9/2018,"Shields, Krajcik and Abernathy",$7.95,$10.30
97,Muffin - Banana Nut Individual,VW3P8AD2D2J17R18,8/8/2018,"Sawayn, McCullough and Walker",$2.08,$19.86
78,Wine - Magnotta - Pinot Gris Sr,V91W5E5FIJ9Q0X92,8/7/2018,Ernser-Harber,$0.50,$18.84
69,"Turkey - Breast, Bone - In",9U4INVN62J2NL0Z5,8/7/2018,Heidenreich-Stiedemann,$3.92,$22.90
28,Wine - Savigny - Les - Beaune,3F05079M0174TTBN,8/7/2018,"Bogan, O'Hara and Bergstrom",$7.44,$12.94
61,Muffin - Blueberry Individual,1WI2B92PCM3QVLQZ,8/7/2018,"Dach, Sanford and Rowe",$6.10,$14.69
77,Puree - Pear,T6A551NE49XSG845,8/9/2018,Pfeffer and Sons,$5.05,$18.70
10,Pear - Halves,FZKO6RU4TT6A82Q6,8/7/2018,"McCullough, Labadie and Rohan",$5.53,$10.25
65,"Beef - Kindney, Whole",67B6U1Z21Q4N6F51,8/7/2018,"Purdy, Bode and Leuschke",$4.88,$14.58
1,Orange - Blood,Q0577SFVT8741BX5,8/9/2018,Streich-Prohaska,$0.29,$12.66
2,Table Cloth 54x54 Colour,2FYNL2K9YWD4NI4W,8/7/2018,"Ebert, Murazik and Ebert",$8.74,$13.50
28,"Soup - Campbells, Spinach Crm",24JL13O0W5S374NB,8/9/2018,"Green, Huels and Upton",$4.93,$13.14
30,Cotton Wet Mop 16 Oz,7VUF2V1IM7A7833H,8/9/2018,Kub and Sons,$6.14,$17.14
54,Chinese Foods - Thick Noodles,K8YYFCH0KI7RE348,8/9/2018,Hand-Little,$3.72,$15.50
14,Sauce - Cranberry,FT03FYKAZVAY9LO2,8/9/2018,Pacocha and Sons,$8.05,$17.63
58,Wine - Sake,9318NU7CJX40Q19Z,8/9/2018,Jones-Hauck,$0.67,$18.57
1,Puree - Blackcurrant,9UZZB75VLEIGL72G,8/8/2018,Kerluke-Vandervort,$2.59,$12.22
82,Carbonated Water - Orange,LEU833PY924G64NL,8/9/2018,Auer-Reichert,$0.57,$11.24
57,Sausage - Andouille,6533V6387E51595I,8/8/2018,Gislason-Daniel,$2.53,$20.60
95,Cafe Royale,A21Y0S8JYNHW5LGI,8/9/2018,Bashirian Group,$8.47,$24.24
44,Muffin Carrot - Individual,II9794T7AL91FD24,8/8/2018,Nitzsche LLC,$4.32,$17.08
34,Pails With Lids,0A21FDRU58242AY8,8/8/2018,Herzog and Sons,$2.61,$19.79
38,Wine - Montecillo Rioja Crianza,XZ680T3146ZIJ9GY,8/8/2018,"Corkery, Cassin and Keeling",$7.35,$19.46
36,Cheese - Le Cru Du Clocher,T7XRL2M2HN6PN9RQ,8/8/2018,"Brakus, Hand and Hilpert",$7.08,$15.72
64,"Plate - Foam, Bread And Butter",H8I1M26CBPPU75Z7,8/8/2018,Skiles Inc,$3.11,$22.53
16,Cheese - Taleggio D.o.p.,00G9B2W03159GW6U,8/7/2018,"Becker, Braun and Doyle",$0.13,$21.90
97,Island Oasis - Wildberry,94SW20M16BA3SE40,8/7/2018,Huel-Hammes,$3.06,$17.03
57,Steam Pan Full Lid,EA62AJOSCSFQ627H,8/8/2018,"Towne, Hammes and Nolan",$3.08,$18.80
69,Ginger - Fresh,4ZR1QKWADJ676374,8/7/2018,"Thiel, Hand and Becker",$1.14,$17.06
81,Sandwich Wrap,0666H38CF46LV91I,8/9/2018,Muller-Sauer,$6.45,$22.96
44,Grapefruit - White,7BY43DH87R9GL9O3,8/9/2018,Kreiger Inc,$3.34,$15.46
22,Bacardi Breezer - Strawberry,8AH3F18M0K6HAWUF,8/9/2018,"Conroy, Cruickshank and Howe",$8.06,$16.57
53,Glucose,595J9790IQH173U2,8/7/2018,"Schroeder, Leuschke and Tremblay",$3.28,$15.75
14,Onion Powder,AU86I85MN36PT536,8/9/2018,"Paucek, Jaskolski and Shields",$6.77,$18.93
24,Cinnamon - Stick,C8FP5C90K973I6I8,8/8/2018,Durgan and Sons,$6.41,$10.78
32,Sesame Seed Black,AW4WKAYA7V2PQT44,8/9/2018,Anderson Inc,$3.36,$22.40
43,Lettuce - Romaine,618886608838LMPS,8/7/2018,Hettinger-Jaskolski,$5.05,$10.17
43,Olives - Kalamata,024TXB6AF7Y69R1B,8/7/2018,Miller Inc,$5.93,$12.94
36,Tea - Lemon Green Tea,7XXMUJ1WEFN05Z4E,8/7/2018,Hyatt LLC,$3.88,$13.80
37,Salt - Sea,548G5TI56M3095E3,8/8/2018,Fadel-Rempel,$5.96,$11.75
85,Potatoes - Mini Red,64F7OPKE6C4NM908,8/9/2018,Wuckert and Sons,$0.44,$17.42
46,Pears - Bartlett,R75X916WC64355R4,8/7/2018,Quigley Inc,$7.24,$18.25
17,Potatoes - Fingerling 4 Oz,C7LNP4017Y879YA7,8/8/2018,Mills Inc,$9.35,$22.82
99,Glucose,74854VYI2207U4T3,8/7/2018,Funk-Nikolaus,$2.07,$20.17
17,Beans - Green,7DR236N74BCI8RY2,8/8/2018,Willms Inc,$8.92,$18.86
82,Beef - Ground Lean Fresh,3R9PA976B8XR0I2R,8/8/2018,Will-O'Reilly,$6.43,$11.01
25,Ice Cream - Fudge Bars,158RN6P8KU22872T,8/9/2018,Rath-Stokes,$8.34,$11.65
69,Hot Chocolate - Individual,ZP24644I5N86Z997,8/7/2018,Hessel-Parker,$1.38,$23.33
20,Mackerel Whole Fresh,8FGA8J6613HK3UVC,8/8/2018,Hudson-McGlynn,$2.68,$17.52
14,Tea - Jasmin Green,B25P44X672ZQO19G,8/9/2018,Ziemann LLC,$0.01,$24.01
12,Soup - Campbells Chili Veg,OU3JW78S835EBT2G,8/9/2018,Heidenreich Group,$8.70,$17.90
11,Lamb Rack Frenched Australian,N9M5MJ6L617LQ840,8/7/2018,"Kuphal, Murazik and Morissette",$7.75,$13.46
40,Alize Red Passion,HNZ4OF67289Z2Z61,8/8/2018,Rau-Wyman,$3.76,$22.29
58,Sugar - Brown,ML3WIVK2G7MF9Q4G,8/7/2018,"Runolfsson, Connelly and Volkman",$9.67,$20.66
4,Tilapia - Fillets,C45W0P7RHV82O6WU,8/9/2018,Gislason-Dare,$2.37,$24.05
52,Dawn Professionl Pot And Pan,18ZT38VJ880S41J9,8/8/2018,"Breitenberg, Ward and McGlynn",$4.37,$24.74
99,Hand Towel,3D5I00FRL83V7YX4,8/8/2018,Willms-Smitham,$0.56,$15.13
27,"Bread - Sticks, Thin, Plain",O4WNKBEZUY341E6F,8/9/2018,Howell and Sons,$7.69,$16.16
92,Creme De Menthe Green,8X032UOX3KT6A311,8/9/2018,Macejkovic and Sons,$6.69,$11.73
24,Versatainer Nc - 8288,6OICES922QQ51356,8/9/2018,Raynor-Emmerich,$9.82,$23.37
9,Beef - Top Sirloin,SX508QHNC92O2UY8,8/9/2018,"Runolfsson, Harris and Fadel",$0.51,$24.06
99,Lettuce - Iceberg,X001F3T2X9VV98CF,8/9/2018,Stroman Group,$8.58,$24.26
26,"Marjoram - Dried, Rubbed",G3B6SWB214PN8FCX,8/8/2018,Bode and Sons,$7.56,$23.05
7,"Bread - Pullman, Sliced",N22YQVEY498S9O95,8/9/2018,Crona LLC,$8.21,$15.12
16,"Tomatoes - Vine Ripe, Yellow",3NH2IW5815P31DN4,8/8/2018,Marks Group,$8.60,$12.02
55,"Shrimp - 16/20, Iqf, Shell On",B7LF4031VMR332G4,8/8/2018,Kreiger LLC,$2.77,$21.42
52,Water - Aquafina Vitamin,8CYMP4164IW8PYIP,8/9/2018,Dibbert-Kautzer,$5.82,$11.86
22,Bandage - Finger Cots,N39S1BJF8L36357A,8/9/2018,Gottlieb LLC,$9.70,$14.22
60,"Beef - Rouladin, Sliced",Z955GJDFZ0Z6S8Z1,8/8/2018,Robel-Cummerata,$5.02,$15.76
71,"Pork - Loin, Bone - In",3HBC9EUPHYCG8T84,8/7/2018,Rosenbaum Inc,$1.82,$10.65
17,"Water - Mineral, Natural",7VYHT1231F68UU8V,8/8/2018,"Zieme, Feeney and Gutmann",$0.79,$11.99
67,Vinegar - Sherry,4BF5YA01229LBOY4,8/7/2018,"Klein, Leannon and Abbott",$8.38,$21.26
98,Bag Stand,GLC9AY8075K99U6S,8/8/2018,Sawayn and Sons,$4.62,$10.09
13,Dried Cherries,ZGK573G8SFCSV45K,8/8/2018,Gerhold Inc,$2.09,$10.74
42,"Chestnuts - Whole,canned",QC78J8D33753N29H,8/9/2018,"Ward, Nikolaus and Cremin",$4.81,$17.96
87,Cheese - Comtomme,LJ12MRX74YVE2L9A,8/9/2018,Reilly Group,$7.85,$14.04
58,Oysters - Smoked,70117J0J053C1D63,8/8/2018,Rogahn and Sons,$4.90,$16.05
97,"Marsala - Sperone, Fine, D.o.c.",928W8U15C9Y3Y0EA,8/9/2018,"Hartmann, Cormier and Collins",$5.48,$16.70
72,Gatorade - Orange,6374WETV75YE0VQ6,8/7/2018,Hahn-Berge,$2.54,$24.80
36,Table Cloth 72x144 White,T9YHI9D4N4HSO54C,8/9/2018,"Lebsack, Herman and Wisozk",$1.53,$14.73
88,"Onions - Dried, Chopped",3I90YF3F67E3F6VE,8/7/2018,Satterfield-Waelchi,$5.52,$10.61
83,Everfresh Products,BSUX948I459Z77OL,8/9/2018,Franecki Group,$6.90,$16.07
100,Vodka - Smirnoff,M94E87XC50AZ5CQN,8/7/2018,Hermiston-McCullough,$4.03,$11.17
72,Chips Potato All Dressed - 43g,ZE9WB9944CPBR8C0,8/9/2018,D'Amore-Rutherford,$0.32,$18.31
25,"Dill - Primerba, Paste",ISOGGVM8S0W6SA1C,8/7/2018,Pagac LLC,$5.34,$13.96
9,Wine - Chardonnay Mondavi,8W0N9W294OQ7MZX9,8/7/2018,"Deckow, Cartwright and Bernhard",$2.31,$10.64
60,Wine - Chateau Bonnet,1K587313Y60N5WDE,8/9/2018,Thompson and Sons,$9.44,$18.52
11,Apples - Spartan,H6R899HFQ866YF0F,8/7/2018,Johnston-Auer,$9.52,$22.37
30,"Quail - Eggs, Fresh",A70LMQ2ZGFVH20H9,8/8/2018,"Marquardt, Stracke and Klein",$2.35,$24.02
70,"Wine - Red, Marechal Foch",4CGFN0J9DXP3ODDB,8/8/2018,Fadel Group,$6.92,$17.18
98,"Gingerale - Schweppes, 355 Ml",7CQEOJ02130975AT,8/7/2018,"Jacobson, Feil and Breitenberg",$7.39,$21.83
2,"Tortillas - Flour, 12",K2037U3KH4694ONE,8/7/2018,Quigley and Sons,$4.67,$21.14
14,Celery Root,V1ATJCLVR0TYA625,8/9/2018,Hane-Swift,$6.57,$10.06
62,"Pepper - Chipotle, Canned",YARY0118JBKX77XO,8/8/2018,Johnson-Greenfelder,$5.56,$24.51
45,Beef - Top Butt,522E3SXA0NT0K7YZ,8/9/2018,Collier-Klocko,$5.93,$18.83
63,Cinnamon Buns Sticky,FE17CW6U41A5YUJ0,8/9/2018,Bauch and Sons,$3.96,$13.66
31,Turnip - White,SI8Z38D9EBKWS04W,8/8/2018,"Legros, Luettgen and Pollich",$1.66,$19.79
62,Sugar - Fine,434QE35321R13V06,8/8/2018,Renner-Gerhold,$2.17,$22.73
1,Soupfoamcont12oz 112con,5358Y8A5N3X67Z43,8/8/2018,"Kassulke, Keebler and Kautzer",$1.18,$16.59
55,Shrimp - 150 - 250,I343832QRPXAE9U5,8/7/2018,Blanda Inc,$4.13,$16.97
61,Red Currant Jelly,L1T6G90P2XD78CH7,8/9/2018,Gulgowski LLC,$3.70,$16.64
81,Carbonated Water - Blackcherry,G0UMV747H12T80YY,8/9/2018,Barton-Lowe,$2.48,$22.97
60,"Ice - Clear, 300 Lb For Carving",808845C0I87B0IM2,8/7/2018,Jacobson-Powlowski,$0.32,$14.25
8,"Wine - White, Ej",X4213NF6555I4KR6,8/9/2018,"Fritsch, Bergstrom and Weber",$6.89,$23.15
47,Chicken - Base,2OWC393GSX0A91S6,8/7/2018,Crist Group,$3.91,$11.63
36,"Veal - Inside, Choice",C6IWIC4D0DDS309G,8/7/2018,Ward and Sons,$2.89,$14.25
97,Marzipan 50/50,2YO2A756T089DS25,8/8/2018,Cartwright Group,$8.17,$16.69
43,Pork - European Side Bacon,92U5H73B5JNFO788,8/8/2018,Kemmer-Gulgowski,$3.90,$13.31
33,Oil - Cooking Spray,I70E575Z1Z751X9W,8/9/2018,"Lemke, Morar and Mann",$5.15,$21.08
54,Raspberries - Fresh,2QBHVJMDQA173XCT,8/8/2018,Ernser-Schumm,$8.19,$23.95
74,Sardines,7C2670XBIE51C5O7,8/8/2018,"Hansen, Hintz and Block",$4.94,$11.65
19,Bagelers - Cinn / Brown,MHVPXHEF7PEQ2CLV,8/8/2018,Buckridge Group,$0.84,$10.14
82,Beer - Labatt Blue,QVNDC60C6BFDK8F4,8/8/2018,Miller and Sons,$9.98,$23.55
97,Peach - Fresh,MCV0L7023X02QAU4,8/9/2018,Ratke-Bashirian,$1.08,$14.87
33,Muffin Mix - Banana Nut,AX0S9GE0HL9H22KX,8/9/2018,Kreiger-Ledner,$3.04,$17.25
34,Latex Rubber Gloves Size 9,5C19H4WPO2RI892O,8/8/2018,Bruen and Sons,$6.11,$18.84
82,Sausage - Chorizo,Y34P01863201N7NB,8/7/2018,Smitham-Sawayn,$3.34,$18.03
25,"Juice - Orange, 341 Ml",3M96FJ89X34EH154,8/8/2018,"Emmerich, Rau and Huel",$0.88,$11.54
99,Sugar - Splenda Sweetener,59255JZ41K9MWGN8,8/8/2018,"Mueller, Glover and Treutel",$8.74,$21.31
78,"Liqueur Banana, Ramazzotti",V9KY549O94A3RS9Y,8/7/2018,"Koepp, Mosciski and Stracke",$9.10,$21.86
46,Chevril,C72V1T9900DXX211,8/9/2018,Hermiston Group,$4.67,$14.45
49,"Pasta - Tortellini, Fresh",185Q05RL87J98M57,8/8/2018,Erdman-Auer,$3.81,$13.21
